                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  30.00  1.413  4.39E+13 8.56E+12 1.37E+14 1.85E+11 3.59E+11 5.09E+11 6.29E+11 7.12E+11 7.58E+11 7.67E+11 7.44E+11 6.95E+11 6.27E+11 5.48E+11 4.65E+11 3.83E+11 3.07E+11 2.40E+11 1.82E+11 1.35E+11 9.74E+10 6.86E+10 4.71E+10 3.16E+10 2.07E+10 1.32E+10 8.25E+09 5.03E+09 2.99E+09 1.74E+09 9.89E+08 5.49E+08 2.98E+08
  40.00  1.631  2.35E+16 2.34E+15 4.02E+16 4.41E+13 8.57E+13 1.23E+14 1.53E+14 1.76E+14 1.90E+14 1.96E+14 1.94E+14 1.86E+14 1.72E+14 1.55E+14 1.36E+14 1.16E+14 9.68E+13 7.87E+13 6.25E+13 4.86E+13 3.69E+13 2.74E+13 1.99E+13 1.41E+13 9.85E+12 6.71E+12 4.48E+12 2.93E+12 1.88E+12 1.18E+12 7.24E+11 4.36E+11 2.58E+11
  50.00  1.824  3.41E+18 3.39E+17 6.16E+18 5.73E+15 1.12E+16 1.61E+16 2.02E+16 2.34E+16 2.55E+16 2.66E+16 2.68E+16 2.61E+16 2.46E+16 2.27E+16 2.03E+16 1.78E+16 1.52E+16 1.27E+16 1.04E+16 8.37E+15 6.58E+15 5.06E+15 3.82E+15 2.83E+15 2.06E+15 1.46E+15 1.02E+15 7.03E+14 4.73E+14 3.13E+14 2.03E+14 1.29E+14 8.09E+13
  60.00  1.998  3.17E+20 3.14E+19 5.97E+20 4.85E+17 9.48E+17 1.37E+18 1.73E+18 2.01E+18 2.22E+18 2.34E+18 2.37E+18 2.34E+18 2.24E+18 2.09E+18 1.91E+18 1.70E+18 1.49E+18 1.27E+18 1.06E+18 8.74E+17 7.04E+17 5.57E+17 4.33E+17 3.30E+17 2.47E+17 1.82E+17 1.32E+17 9.36E+16 6.54E+16 4.50E+16 3.04E+16 2.02E+16 1.32E+16
  70.00  2.158  2.09E+22 2.06E+21 4.08E+22 2.96E+19 5.79E+19 8.38E+19 1.06E+20 1.24E+20 1.38E+20 1.46E+20 1.50E+20 1.49E+20 1.45E+20 1.37E+20 1.26E+20 1.14E+20 1.01E+20 8.80E+19 7.50E+19 6.28E+19 5.16E+19 4.17E+19 3.31E+19 2.59E+19 1.99E+19 1.50E+19 1.11E+19 8.15E+18 5.86E+18 4.15E+18 2.89E+18 1.98E+18 1.34E+18
  80.00  2.307  1.06E+24 1.04E+23 2.12E+24 1.39E+21 2.73E+21 3.96E+21 5.03E+21 5.92E+21 6.59E+21 7.04E+21 7.27E+21 7.29E+21 7.12E+21 6.80E+21 6.35E+21 5.81E+21 5.21E+21 4.59E+21 3.97E+21 3.37E+21 2.82E+21 2.31E+21 1.87E+21 1.49E+21 1.17E+21 8.99E+20 6.82E+20 5.10E+20 3.76E+20 2.73E+20 1.95E+20 1.37E+20 9.52E+19
  90.00  2.447  4.26E+25 4.16E+24 8.74E+25 5.28E+22 1.04E+23 1.50E+23 1.92E+23 2.26E+23 2.53E+23 2.72E+23 2.82E+23 2.85E+23 2.80E+23 2.70E+23 2.54E+23 2.35E+23 2.13E+23 1.89E+23 1.66E+23 1.43E+23 1.21E+23 1.01E+23 8.26E+22 6.67E+22 5.31E+22 4.17E+22 3.22E+22 2.45E+22 1.84E+22 1.36E+22 9.95E+21 7.16E+21 5.08E+21
 100.00  2.579  1.43E+27 1.38E+26 2.98E+27 1.67E+24 3.27E+24 4.76E+24 6.09E+24 7.20E+24 8.09E+24 8.72E+24 9.10E+24 9.23E+24 9.14E+24 8.86E+24 8.40E+24 7.82E+24 7.15E+24 6.43E+24 5.68E+24 4.94E+24 4.23E+24 3.57E+24 2.97E+24 2.43E+24 1.96E+24 1.56E+24 1.23E+24 9.48E+23 7.24E+23 5.45E+23 4.05E+23 2.97E+23 2.15E+23
 110.00  2.705  4.05E+28 3.91E+27 8.61E+28 4.50E+25 8.84E+25 1.29E+26 1.65E+26 1.96E+26 2.20E+26 2.39E+26 2.50E+26 2.55E+26 2.54E+26 2.47E+26 2.36E+26 2.21E+26 2.04E+26 1.85E+26 1.65E+26 1.45E+26 1.25E+26 1.07E+26 8.95E+25 7.42E+25 6.06E+25 4.88E+25 3.88E+25 3.05E+25 2.36E+25 1.80E+25 1.36E+25 1.01E+25 7.45E+24
 120.00  2.825  1.00E+30 9.61E+28 2.16E+30 1.06E+27 2.08E+27 3.04E+27 3.90E+27 4.64E+27 5.24E+27 5.68E+27 5.98E+27 6.12E+27 6.12E+27 5.99E+27 5.76E+27 5.43E+27 5.04E+27 4.59E+27 4.13E+27 3.65E+27 3.19E+27 2.74E+27 2.32E+27 1.94E+27 1.60E+27 1.31E+27 1.05E+27 8.35E+26 6.55E+26 5.07E+26 3.88E+26 2.93E+26 2.18E+26
