##
## Parameters for 188Os
##
## Level density
##
gamgam           72 181   0.05000
gamgamadjust     72 181   1.00000
sgr              72 181 482.828 E1
egr              72 181  14.177 E1
ggr              72 181   4.116 E1
sgradjust        72 181   1.000 E1
egradjust        72 181   1.000 E1
ggradjust        72 181   1.000 E1
upbendc          72 181 3.50000E-08 M1
sgr              72 181   2.283 M1
egr              72 181   7.568 M1
ggr              72 181   4.000 M1
sgradjust        72 181   1.000 M1
egradjust        72 181   1.000 M1
ggradjust        72 181   1.000 M1
sgr              72 181   0.363 E2
egr              72 181  11.137 E2
ggr              72 181   3.938 E2
sgradjust        72 181   1.000 E2
egradjust        72 181   1.000 E2
ggradjust        72 181   1.000 E2
upbendc          72 181 0.00000E+00 M2
sgr              72 181   0.002 M2
egr              72 181   7.568 M2
ggr              72 181   4.000 M2
sgradjust        72 181   1.000 M2
egradjust        72 181   1.000 M2
ggradjust        72 181   1.000 M2
##--------------------------------------------
##
## Parameters for 180Hf
##
## Level density
##
a                72 180  23.61105
aadjust          72 180   1.00000
gammald          72 180   0.07670
pair             72 180   1.78885
Pshift           72 180   0.00000   0
Pshiftadjust     72 180   0.00000   0
deltaW           72 180   1.59042   0
Ntop             72 180  19   0
Nlow             72 180   6   0
s2adjust         72 180   1.00000   0
ctable           72 180   0.09866   0
ptable           72 180   0.42097   0
ctableadjust     72 180   0.00000   0
ptableadjust     72 180   0.00000   0
D0               72 180 4.60000E-03
g                72 180  12.00000
gp               72 180   4.80000
gn               72 180   7.20000
gnadjust         72 180   1.00000
gpadjust         72 180   1.00000
gadjust          72 180   1.00000
##
## Gamma-ray
##
gamgam           72 180   0.06600
gamgamadjust     72 180   1.00000
sgr              72 180 479.879 E1
egr              72 180  14.195 E1
ggr              72 180   4.126 E1
sgradjust        72 180   1.000 E1
egradjust        72 180   1.000 E1
ggradjust        72 180   1.000 E1
upbendc          72 180 3.50000E-08 M1
sgr              72 180   2.273 M1
egr              72 180   7.575 M1
ggr              72 180   4.000 M1
sgradjust        72 180   1.000 M1
egradjust        72 180   1.000 M1
ggradjust        72 180   1.000 M1
sgr              72 180   0.363 E2
egr              72 180  11.158 E2
ggr              72 180   3.950 E2
sgradjust        72 180   1.000 E2
egradjust        72 180   1.000 E2
ggradjust        72 180   1.000 E2
upbendc          72 180 0.00000E+00 M2
sgr              72 180   0.002 M2
egr              72 180   7.575 M2
ggr              72 180   4.000 M2
sgradjust        72 180   1.000 M2
egradjust        72 180   1.000 M2
ggradjust        72 180   1.000 M2
##--------------------------------------------
##
## Parameters for 186Os
##
## Level density
##
a                76 186  23.43964
aadjust          76 186   1.00000
gammald          76 186   0.07587
pair             76 186   1.75977
Pshift           76 186   0.00000   0
Pshiftadjust     76 186   0.00000   0
deltaW           76 186   1.01595   0
Ntop             76 186  20   0
Nlow             76 186   2   0
s2adjust         76 186   1.00000   0
ctable           76 186   0.00000   0
